Date,Symbol,Order,Shares
2008-01-02,AAPL,BUY,200
2008-01-03,AAPL,SELL,200
2008-01-03,AAPL,SELL,200
2008-01-04,AAPL,BUY,200
2008-01-04,AAPL,SELL,200
2008-01-07,AAPL,BUY,200
2008-01-07,AAPL,SELL,200
2008-01-08,AAPL,BUY,200
2008-01-08,AAPL,BUY,200
2008-01-09,AAPL,SELL,200
2008-01-09,AAPL,SELL,200
2008-01-10,AAPL,BUY,200
2008-01-10,AAPL,SELL,200
2008-01-11,AAPL,BUY,200
2008-01-11,AAPL,BUY,200
2008-01-14,AAPL,SELL,200
2008-01-14,AAPL,SELL,200
2008-01-15,AAPL,BUY,200
2008-01-15,AAPL,SELL,200
2008-01-16,AAPL,BUY,200
2008-01-16,AAPL,BUY,200
2008-01-17,AAPL,SELL,200
2008-01-17,AAPL,BUY,200
2008-01-18,AAPL,SELL,200
2008-01-18,AAPL,SELL,200
2008-01-22,AAPL,BUY,200
2008-01-22,AAPL,SELL,200
2008-01-23,AAPL,BUY,200
2008-01-23,AAPL,SELL,200
2008-01-24,AAPL,BUY,200
2008-01-24,AAPL,SELL,200
2008-01-25,AAPL,BUY,200
2008-01-28,AAPL,BUY,200
2008-01-29,AAPL,SELL,200
2008-01-29,AAPL,BUY,200
2008-01-30,AAPL,SELL,200
2008-01-30,AAPL,BUY,200
2008-01-31,AAPL,SELL,200
2008-01-31,AAPL,SELL,200
2008-02-01,AAPL,BUY,200
2008-02-01,AAPL,SELL,200
2008-02-04,AAPL,BUY,200
2008-02-04,AAPL,SELL,200
2008-02-05,AAPL,BUY,200
2008-02-05,AAPL,SELL,200
2008-02-06,AAPL,BUY,200
2008-02-06,AAPL,SELL,200
2008-02-07,AAPL,BUY,200
2008-02-07,AAPL,BUY,200
2008-02-08,AAPL,SELL,200
2008-02-08,AAPL,BUY,200
2008-02-11,AAPL,SELL,200
2008-02-11,AAPL,SELL,200
2008-02-12,AAPL,BUY,200
2008-02-12,AAPL,BUY,200
2008-02-13,AAPL,SELL,200
2008-02-13,AAPL,SELL,200
2008-02-14,AAPL,BUY,200
2008-02-14,AAPL,SELL,200
2008-02-15,AAPL,BUY,200
2008-02-15,AAPL,SELL,200
2008-02-19,AAPL,BUY,200
2008-02-19,AAPL,BUY,200
2008-02-20,AAPL,SELL,200
2008-02-20,AAPL,SELL,200
2008-02-21,AAPL,BUY,200
2008-02-21,AAPL,SELL,200
2008-02-22,AAPL,BUY,200
2008-02-22,AAPL,BUY,200
2008-02-25,AAPL,SELL,200
2008-02-25,AAPL,SELL,200
2008-02-26,AAPL,BUY,200
2008-02-26,AAPL,BUY,200
2008-02-27,AAPL,SELL,200
2008-02-27,AAPL,BUY,200
2008-02-28,AAPL,SELL,200
2008-02-28,AAPL,SELL,200
2008-02-29,AAPL,BUY,200
2008-02-29,AAPL,SELL,200
2008-03-03,AAPL,BUY,200
2008-03-03,AAPL,BUY,200
2008-03-04,AAPL,SELL,200
2008-03-04,AAPL,SELL,200
2008-03-05,AAPL,BUY,200
2008-03-05,AAPL,SELL,200
2008-03-06,AAPL,BUY,200
2008-03-06,AAPL,BUY,200
2008-03-07,AAPL,SELL,200
2008-03-07,AAPL,SELL,200
2008-03-10,AAPL,BUY,200
2008-03-10,AAPL,BUY,200
2008-03-11,AAPL,SELL,200
2008-03-11,AAPL,SELL,200
2008-03-12,AAPL,BUY,200
2008-03-12,AAPL,BUY,200
2008-03-13,AAPL,SELL,200
2008-03-13,AAPL,SELL,200
2008-03-14,AAPL,BUY,200
2008-03-14,AAPL,BUY,200
2008-03-17,AAPL,SELL,200
2008-03-17,AAPL,BUY,200
2008-03-18,AAPL,SELL,200
2008-03-18,AAPL,SELL,200
2008-03-19,AAPL,BUY,200
2008-03-19,AAPL,BUY,200
2008-03-20,AAPL,SELL,200
2008-03-20,AAPL,BUY,200
2008-03-24,AAPL,SELL,200
2008-03-24,AAPL,BUY,200
2008-03-25,AAPL,SELL,200
2008-03-25,AAPL,BUY,200
2008-03-26,AAPL,SELL,200
2008-03-26,AAPL,SELL,200
2008-03-27,AAPL,BUY,200
2008-03-27,AAPL,BUY,200
2008-03-28,AAPL,SELL,200
2008-03-28,AAPL,BUY,200
2008-03-31,AAPL,SELL,200
2008-03-31,AAPL,BUY,200
2008-04-01,AAPL,SELL,200
2008-04-01,AAPL,SELL,200
2008-04-02,AAPL,BUY,200
2008-04-02,AAPL,BUY,200
2008-04-03,AAPL,SELL,200
2008-04-03,AAPL,BUY,200
2008-04-04,AAPL,SELL,200
2008-04-04,AAPL,BUY,200
2008-04-07,AAPL,SELL,200
2008-04-07,AAPL,SELL,200
2008-04-08,AAPL,BUY,200
2008-04-08,AAPL,SELL,200
2008-04-09,AAPL,BUY,200
2008-04-09,AAPL,BUY,200
2008-04-10,AAPL,SELL,200
2008-04-10,AAPL,SELL,200
2008-04-11,AAPL,BUY,200
2008-04-11,AAPL,BUY,200
2008-04-14,AAPL,SELL,200
2008-04-14,AAPL,BUY,200
2008-04-15,AAPL,SELL,200
2008-04-15,AAPL,BUY,200
2008-04-16,AAPL,SELL,200
2008-04-16,AAPL,BUY,200
2008-04-17,AAPL,SELL,200
2008-04-17,AAPL,BUY,200
2008-04-18,AAPL,SELL,200
2008-04-18,AAPL,BUY,200
2008-04-21,AAPL,SELL,200
2008-04-21,AAPL,SELL,200
2008-04-22,AAPL,BUY,200
2008-04-22,AAPL,BUY,200
2008-04-23,AAPL,SELL,200
2008-04-23,AAPL,BUY,200
2008-04-24,AAPL,SELL,200
2008-04-24,AAPL,BUY,200
2008-04-25,AAPL,SELL,200
2008-04-25,AAPL,BUY,200
2008-04-28,AAPL,SELL,200
2008-04-28,AAPL,BUY,200
2008-04-29,AAPL,SELL,200
2008-04-29,AAPL,SELL,200
2008-04-30,AAPL,BUY,200
2008-04-30,AAPL,BUY,200
2008-05-01,AAPL,SELL,200
2008-05-01,AAPL,BUY,200
2008-05-02,AAPL,SELL,200
2008-05-02,AAPL,BUY,200
2008-05-05,AAPL,SELL,200
2008-05-05,AAPL,BUY,200
2008-05-06,AAPL,SELL,200
2008-05-06,AAPL,SELL,200
2008-05-07,AAPL,BUY,200
2008-05-07,AAPL,BUY,200
2008-05-08,AAPL,SELL,200
2008-05-08,AAPL,SELL,200
2008-05-09,AAPL,BUY,200
2008-05-09,AAPL,BUY,200
2008-05-12,AAPL,SELL,200
2008-05-12,AAPL,BUY,200
2008-05-13,AAPL,SELL,200
2008-05-13,AAPL,SELL,200
2008-05-14,AAPL,BUY,200
2008-05-14,AAPL,BUY,200
2008-05-15,AAPL,SELL,200
2008-05-15,AAPL,SELL,200
2008-05-16,AAPL,BUY,200
2008-05-16,AAPL,SELL,200
2008-05-19,AAPL,BUY,200
2008-05-19,AAPL,BUY,200
2008-05-20,AAPL,SELL,200
2008-05-20,AAPL,SELL,200
2008-05-21,AAPL,BUY,200
2008-05-21,AAPL,SELL,200
2008-05-22,AAPL,BUY,200
2008-05-22,AAPL,BUY,200
2008-05-23,AAPL,SELL,200
2008-05-23,AAPL,BUY,200
2008-05-27,AAPL,SELL,200
2008-05-27,AAPL,BUY,200
2008-05-28,AAPL,SELL,200
2008-05-28,AAPL,SELL,200
2008-05-29,AAPL,BUY,200
2008-05-29,AAPL,BUY,200
2008-05-30,AAPL,SELL,200
2008-05-30,AAPL,SELL,200
2008-06-02,AAPL,BUY,200
2008-06-02,AAPL,SELL,200
2008-06-03,AAPL,BUY,200
2008-06-03,AAPL,SELL,200
2008-06-04,AAPL,BUY,200
2008-06-04,AAPL,BUY,200
2008-06-05,AAPL,SELL,200
2008-06-05,AAPL,SELL,200
2008-06-06,AAPL,BUY,200
2008-06-06,AAPL,SELL,200
2008-06-09,AAPL,BUY,200
2008-06-09,AAPL,BUY,200
2008-06-10,AAPL,SELL,200
2008-06-10,AAPL,SELL,200
2008-06-11,AAPL,BUY,200
2008-06-11,AAPL,SELL,200
2008-06-12,AAPL,BUY,200
2008-06-12,AAPL,SELL,200
2008-06-13,AAPL,BUY,200
2008-06-13,AAPL,BUY,200
2008-06-16,AAPL,SELL,200
2008-06-16,AAPL,BUY,200
2008-06-17,AAPL,SELL,200
2008-06-17,AAPL,SELL,200
2008-06-18,AAPL,BUY,200
2008-06-18,AAPL,BUY,200
2008-06-19,AAPL,SELL,200
2008-06-19,AAPL,SELL,200
2008-06-20,AAPL,BUY,200
2008-06-20,AAPL,SELL,200
2008-06-23,AAPL,BUY,200
2008-06-23,AAPL,BUY,200
2008-06-24,AAPL,SELL,200
2008-06-24,AAPL,BUY,200
2008-06-25,AAPL,SELL,200
2008-06-25,AAPL,SELL,200
2008-06-26,AAPL,BUY,200
2008-06-26,AAPL,BUY,200
2008-06-27,AAPL,SELL,200
2008-06-27,AAPL,SELL,200
2008-06-30,AAPL,BUY,200
2008-06-30,AAPL,BUY,200
2008-07-01,AAPL,SELL,200
2008-07-01,AAPL,SELL,200
2008-07-02,AAPL,BUY,200
2008-07-02,AAPL,BUY,200
2008-07-03,AAPL,SELL,200
2008-07-03,AAPL,BUY,200
2008-07-07,AAPL,SELL,200
2008-07-07,AAPL,BUY,200
2008-07-08,AAPL,SELL,200
2008-07-08,AAPL,SELL,200
2008-07-09,AAPL,BUY,200
2008-07-09,AAPL,BUY,200
2008-07-10,AAPL,SELL,200
2008-07-10,AAPL,SELL,200
2008-07-11,AAPL,BUY,200
2008-07-11,AAPL,BUY,200
2008-07-14,AAPL,SELL,200
2008-07-14,AAPL,SELL,200
2008-07-15,AAPL,BUY,200
2008-07-15,AAPL,BUY,200
2008-07-16,AAPL,SELL,200
2008-07-16,AAPL,SELL,200
2008-07-17,AAPL,BUY,200
2008-07-17,AAPL,SELL,200
2008-07-18,AAPL,BUY,200
2008-07-18,AAPL,BUY,200
2008-07-21,AAPL,SELL,200
2008-07-21,AAPL,SELL,200
2008-07-22,AAPL,BUY,200
2008-07-22,AAPL,BUY,200
2008-07-23,AAPL,SELL,200
2008-07-23,AAPL,SELL,200
2008-07-24,AAPL,BUY,200
2008-07-24,AAPL,BUY,200
2008-07-25,AAPL,SELL,200
2008-07-25,AAPL,SELL,200
2008-07-28,AAPL,BUY,200
2008-07-28,AAPL,BUY,200
2008-07-29,AAPL,SELL,200
2008-07-29,AAPL,BUY,200
2008-07-30,AAPL,SELL,200
2008-07-30,AAPL,SELL,200
2008-07-31,AAPL,BUY,200
2008-07-31,AAPL,SELL,200
2008-08-01,AAPL,BUY,200
2008-08-01,AAPL,SELL,200
