Date,Symbol,Order,Shares
2008-01-02,AAPL,SELL,200
2008-01-23,AAPL,BUY,200
2008-01-24,AAPL,SELL,200
2008-02-14,AAPL,BUY,200
2008-02-15,AAPL,SELL,200
2008-03-07,AAPL,BUY,200
2008-03-10,AAPL,SELL,200
2008-03-31,AAPL,BUY,200
2008-04-01,AAPL,BUY,200
2008-04-22,AAPL,SELL,200
2008-04-23,AAPL,BUY,200
2008-05-14,AAPL,SELL,200
2008-05-15,AAPL,BUY,200
2008-06-05,AAPL,SELL,200
2008-06-09,AAPL,SELL,200
2008-06-30,AAPL,BUY,200
2008-07-01,AAPL,SELL,200
2008-07-22,AAPL,BUY,200
2008-07-23,AAPL,SELL,200
2008-08-13,AAPL,BUY,200
2008-08-14,AAPL,BUY,200
2008-09-04,AAPL,SELL,200
2008-09-05,AAPL,SELL,200
2008-09-26,AAPL,BUY,200
2008-09-29,AAPL,SELL,200
2008-10-20,AAPL,BUY,200
2008-10-21,AAPL,SELL,200
2008-11-11,AAPL,BUY,200
2008-11-12,AAPL,SELL,200
2008-12-03,AAPL,BUY,200
2008-12-04,AAPL,SELL,200
2008-12-26,AAPL,BUY,200
2008-12-29,AAPL,SELL,200
2009-01-20,AAPL,BUY,200
2009-01-21,AAPL,SELL,200
2009-02-11,AAPL,BUY,200
2009-02-12,AAPL,BUY,200
2009-03-05,AAPL,SELL,200
2009-03-06,AAPL,SELL,200
2009-03-27,AAPL,BUY,200
2009-03-30,AAPL,BUY,200
2009-04-20,AAPL,SELL,200
2009-04-21,AAPL,BUY,200
2009-05-12,AAPL,SELL,200
2009-05-13,AAPL,SELL,200
2009-06-03,AAPL,BUY,200
2009-06-04,AAPL,BUY,200
2009-06-25,AAPL,SELL,200
2009-06-26,AAPL,BUY,200
2009-07-17,AAPL,SELL,200
2009-07-20,AAPL,BUY,200
2009-08-10,AAPL,SELL,200
2009-08-11,AAPL,BUY,200
2009-09-01,AAPL,SELL,200
2009-09-04,AAPL,BUY,200
2009-09-25,AAPL,SELL,200
2009-09-28,AAPL,BUY,200
2009-10-19,AAPL,SELL,200
2009-10-20,AAPL,BUY,200
2009-11-10,AAPL,SELL,200
2009-11-11,AAPL,BUY,200
2009-12-02,AAPL,SELL,200
2009-12-04,AAPL,SELL,200
2009-12-28,AAPL,BUY,200
2009-12-29,AAPL,BUY,200
