Date,Symbol,Order,Shares
2008-02-01,AAPL,SELL,200
2008-02-22,AAPL,BUY,200
2008-02-25,AAPL,SELL,200
2008-03-17,AAPL,BUY,200
2008-03-18,AAPL,BUY,200
2008-04-08,AAPL,SELL,200
2008-04-09,AAPL,BUY,200
2008-04-30,AAPL,SELL,200
2008-05-01,AAPL,BUY,200
2008-05-22,AAPL,SELL,200
2008-05-23,AAPL,BUY,200
2008-06-13,AAPL,SELL,200
2008-06-16,AAPL,SELL,200
2008-07-07,AAPL,BUY,200
2008-07-08,AAPL,SELL,200
2008-07-29,AAPL,BUY,200
2008-07-30,AAPL,SELL,200
2008-08-20,AAPL,BUY,200
2008-08-21,AAPL,BUY,200
2008-09-11,AAPL,SELL,200
2008-09-12,AAPL,SELL,200
2008-10-03,AAPL,BUY,200
2008-10-06,AAPL,SELL,200
2008-10-27,AAPL,BUY,200
2008-10-28,AAPL,SELL,200
2008-11-18,AAPL,BUY,200
2008-11-19,AAPL,SELL,200
2008-12-10,AAPL,BUY,200
2008-12-11,AAPL,BUY,200
2009-01-02,AAPL,SELL,200
2009-01-05,AAPL,SELL,200
2009-01-26,AAPL,BUY,200
2009-01-27,AAPL,BUY,200
2009-02-17,AAPL,SELL,200
2009-02-18,AAPL,BUY,200
2009-03-11,AAPL,SELL,200
2009-03-12,AAPL,BUY,200
2009-04-02,AAPL,SELL,200
2009-04-03,AAPL,BUY,200
2009-04-24,AAPL,SELL,200
2009-04-27,AAPL,BUY,200
2009-05-18,AAPL,SELL,200
2009-05-19,AAPL,BUY,200
2009-06-09,AAPL,SELL,200
2009-06-10,AAPL,BUY,200
2009-07-01,AAPL,SELL,200
2009-07-02,AAPL,SELL,200
2009-07-23,AAPL,BUY,200
2009-07-24,AAPL,BUY,200
2009-08-14,AAPL,SELL,200
2009-08-17,AAPL,BUY,200
2009-09-08,AAPL,SELL,200
2009-09-09,AAPL,BUY,200
2009-09-30,AAPL,SELL,200
2009-10-01,AAPL,BUY,200
2009-10-22,AAPL,SELL,200
2009-10-23,AAPL,BUY,200
2009-11-13,AAPL,SELL,200
2009-11-16,AAPL,BUY,200
2009-12-07,AAPL,SELL,200
2009-12-08,AAPL,SELL,200
2009-12-29,AAPL,BUY,200
2009-12-30,AAPL,BUY,200
